"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"TFSC","1347 Capital Corp.","9.8","58290400","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc",
"TFSCR","1347 Capital Corp.","0.3597","0","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr",
"TFSCU","1347 Capital Corp.","10.35","43263000","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscu",
"TFSCW","1347 Capital Corp.","0.22","0","n/a","United States","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw",
"PIH","1347 Property Insurance Holdings, Inc.","7.475","46833311.85","n/a","United States","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"FLWS","1-800 FLOWERS.COM, Inc.","8.48","553422752.16","n/a","United States","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","8.07","83296135.14","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","11.4","86033919","n/a","United States","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","30.46","965618643.38","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"XXII","22nd Century Group, Inc","0.8255","58505796.882","n/a","United States","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","36.3","1509806733.6","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","12.53","1403337232.99","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","140.81","87970401041.29","n/a","United States","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mmm",
"SIXD","6D Global Technologies, Inc.","2.9","226918805.6","n/a","United States","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd",
"CAFD","8point3 Energy Partners LP","13.38","950015845.02","n/a","United States","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","7.92","701696999.52","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","13.86","309626135.28","n/a","United States","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","30.45","891886102.8","n/a","United States","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AHC","A.H. Belo Corporation","5.1","110568392.7","n/a","United States","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/ahc",
"AAC","AAC Holdings, Inc.","n/a","0","n/a","United States","2014","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aac",
