SYMBOL,NAME,EXCHANGE,CATEGORY NAME,CATEGORY NUMBER
AUB.AX,AUSTBROKERS HOLDINGS LIMITED,ASX,ACCIDENT & HEALTH INSURANCE,431
GLRE,"GREENLIGHT CAPITAL RE, LTD.",NMS,ACCIDENT & HEALTH INSURANCE,431
SFG,STANCORP FINANCIAL GROUP INC.,NYQ,ACCIDENT & HEALTH INSURANCE,431
AMIC,AMERICAN INDEPENDENCE CORP.,NGM,ACCIDENT & HEALTH INSURANCE,431
GTS,TRIPLE-S MANAGEMENT CORPORATION,NYQ,ACCIDENT & HEALTH INSURANCE,431
LRE.L,LANCASHIRE HOLDINGS LIMITED,LSE,ACCIDENT & HEALTH INSURANCE,431
EIG,"EMPLOYERS HOLDINGS, INC.",NYQ,ACCIDENT & HEALTH INSURANCE,431
AIZ,ASSURANT INC.,NYQ,ACCIDENT & HEALTH INSURANCE,431
NHF.AX,NIB HOLDINGS LIMITED,ASX,ACCIDENT & HEALTH INSURANCE,431
PRA,PROASSURANCE CORPORATION,NYQ,ACCIDENT & HEALTH INSURANCE,431
TRUP,"TRUPANION, INC.",NYQ,ACCIDENT & HEALTH INSURANCE,431
AFL,AFLAC INC.,NYQ,ACCIDENT & HEALTH INSURANCE,431
MIC.TO,GENWORTH MI CANADA INC.,TOR,ACCIDENT & HEALTH INSURANCE,431
CNO,"CNO FINANCIAL GROUP, INC.",NYQ,ACCIDENT & HEALTH INSURANCE,431
UNM,UNUM GROUP,NYQ,ACCIDENT & HEALTH INSURANCE,431
FAC,FIRST ACCEPTANCE CORP.,NYQ,ACCIDENT & HEALTH INSURANCE,431
SCRI,"SOCIAL REALITY, INC.",PNK,ADVERTISING AGENCIES,720
DCS.MU,JC DECAUX,MUN,ADVERTISING AGENCIES,720
XM8.F,CLEAR MEDIA,FRA,ADVERTISING AGENCIES,720
XBTC,XHIBIT CORP.,PNK,ADVERTISING AGENCIES,720
VISN,VISIONCHINA MEDIA INC.,NMS,ADVERTISING AGENCIES,720
QXQ.AX,Q LIMITED,ASX,ADVERTISING AGENCIES,720
VEND,"FRESH HEALTHY VENDING INTERNATIONAL, INC.",OBB,ADVERTISING AGENCIES,720
DNAX,"DNA BRANDS, INC.",PNK,ADVERTISING AGENCIES,720
IPG,"THE INTERPUBLIC GROUP OF COMPANIES, INC.",NYQ,ADVERTISING AGENCIES,720
YUME,"YUME, INC.",NYQ,ADVERTISING AGENCIES,720
PUB.PA,PUBLICIS GROUPE SA,PAR,ADVERTISING AGENCIES,720
MSHF,"MEDIASHIFT, INC.",PNK,ADVERTISING AGENCIES,720
SAX.BE,STROEER MEDIA,BER,ADVERTISING AGENCIES,720
TRS.L,TARSUS GROUP PLC,LSE,ADVERTISING AGENCIES,720
IDI,"TIGER MEDIA, INC.",ASE,ADVERTISING AGENCIES,720
CL2.SG,CYBERAGENT,STU,ADVERTISING AGENCIES,720
XM8.SG,CLEAR MEDIA,STU,ADVERTISING AGENCIES,720
0205.HK,SEEC MEDIA,HKG,ADVERTISING AGENCIES,720
DEN.DU,DENTSU,DUS,ADVERTISING AGENCIES,720
RVUE,"RVUE HOLDINGS, INC.",PNK,ADVERTISING AGENCIES,720
PHRM.L,PHORM CORPORATION LIMITED,LSE,ADVERTISING AGENCIES,720
RLOC,"REACHLOCAL, INC.",NMS,ADVERTISING AGENCIES,720
DCS.SG,JC DECAUX,STU,ADVERTISING AGENCIES,720
OMC,OMNICOM GROUP INC.,NYQ,ADVERTISING AGENCIES,720
DEC.PA,JCDECAUX SA,PAR,ADVERTISING AGENCIES,720
CNET,"CHINANET ONLINE HOLDINGS, INC.",NCM,ADVERTISING AGENCIES,720
FUEL,ROCKET FUEL INC.,NMS,ADVERTISING AGENCIES,720
NMED,"NEW MEDIA INSIGHT GROUP, INC.",PNK,ADVERTISING AGENCIES,720
SZMK,SIZMEK INC.,NMS,ADVERTISING AGENCIES,720
SPN.V,SNIPP INTERACTIVE INC.,VAN,ADVERTISING AGENCIES,720
KITM,KITARA MEDIA CORP.,OBB,ADVERTISING AGENCIES,720
WPP.L,WPP PLC,LSE,ADVERTISING AGENCIES,720
Y07.SI,GLOBAL YELLOW PAGES LIMITED,SES,ADVERTISING AGENCIES,720
ZCNV.PA,ZODIAC AEROSPACE,PAR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
NOC,NORTHROP GRUMMAN CORPORATION,NYQ,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
MTX.DE,MTU AERO ENGINES AG,GER,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
RTN1.SG,RAYTHEON,STU,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EAD.DE,AIRBUS GROUP N.V.,GER,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
QY6.SG,QINETIQ GROUP,STU,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
NTH.BE,NORTHROP GRUMMAN,BER,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EAD.PA,AIRBUS GROUP N.V.,,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
SWS.SG,SMITH & WESSON HLDG,STU,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EOS.AX,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,ASX,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
MAL.TO,MAGELLAN AEROSPACE CORP.,TOR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
BA.L,BAE SYSTEMS PLC,LSE,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
RR.L,ROLLS ROYCE HOLDINGS PLC,LSE,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
UEH.F,ULTRA ELEC HLDGS,FRA,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
NTH.DU,NORTHROP GRUMMAN,DUS,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
MTX.F,MTU AERO ENGINES N,FRA,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
ZC.PA,ZODIAC AEROSPACE,PAR,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
ZDC.BE,ZODIAC AEROSPACE,BER,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
QQ.L,QINETIQ GROUP PLC,LSE,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
S51.SI,SEMBCORP MARINE LTD,SES,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EMRI,EMRISE CORPORATION,PNK,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
EAC,ERICKSON INCORPORATED,NGM,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
SDZ.V,SECURITY DEVICES INTERNATIONAL INC.,VAN,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
QHL.AX,QUICKSTEP HOLDINGS LIMITED,ASX,AEROSPACE/DEFENSE - MAJOR DIVERSIFIED,610
