date,open,high,low,close,volume,adj close
2015-08-21,118.849998,128.710007,117.559998,123.790001,985100,123.790001
2015-08-20,126.349998,131.470001,121.110001,121.25,916100,121.25
2015-08-19,128.410004,130.50,122.510002,127.010002,738600,127.010002
2015-08-18,130.009995,134.00,128.809998,129.610001,481300,129.610001
2015-08-17,127.480003,133.369995,124.510002,131.690002,728300,131.690002
2015-08-14,131.899994,132.990005,123.099998,127.82,828100,127.82
2015-08-13,135.360001,139.130005,130.770004,131.910004,447200,131.910004
2015-08-12,133.029999,140.00,124.730003,134.860001,1701600,134.860001
2015-08-11,136.020004,143.300003,132.009995,135.889999,978000,135.889999
2015-08-10,153.399994,153.990005,136.009995,139.229996,2165900,139.229996
2015-08-07,154.75,157.50,129.009995,154.839996,3877000,154.839996
2015-08-06,167.00,168.029999,154.75,156.830002,573300,156.830002
2015-08-05,164.399994,169.160004,162.779999,166.509995,470000,166.509995
2015-08-04,165.649994,166.419998,162.210007,164.470001,324700,164.470001
2015-08-03,165.710007,167.490005,162.320007,164.600006,479900,164.600006
2015-07-31,159.580002,168.199997,156.029999,165.830002,677000,165.830002
2015-07-30,159.00,160.00,153.630005,159.169998,384300,159.169998
2015-07-29,160.639999,160.669998,155.309998,159.020004,445100,159.020004
2015-07-28,159.75,161.130005,154.389999,160.320007,665400,160.320007
2015-07-27,157.789993,160.990005,154.119995,159.490005,423500,159.490005
2015-07-24,162.009995,165.00,158.699997,158.910004,556600,158.910004
2015-07-23,162.110001,165.669998,161.320007,163.539993,541800,163.539993
